Lat,Lon,Time Range,mmsi,Apparent Fishing Hours
-3.98,115.87,2024-02-20 04:00,0.0,0.77
-3.91,115.9,2024-02-23 23:00,0.0,1.12
-4.34,116.08,2024-02-17 12:00,0.0,1.4
-4.04,115.91,2024-02-20 09:00,0.0,0.15
-3.87,115.77,2024-02-27 19:00,0.0,0.85
-4.16,115.9,2024-02-19 01:00,0.0,1.06
-3.94,115.89,2024-02-25 10:00,0.0,0.3
-3.94,115.88,2024-02-25 22:00,0.0,0.9
-3.87,115.77,2024-02-28 10:00,0.0,0.9
-4.12,115.9,2024-02-19 22:00,0.0,0.88
-3.94,115.89,2024-02-24 12:00,0.0,0.3
-3.87,115.77,2024-02-27 13:00,0.0,0.9
-3.95,115.91,2024-02-23 12:00,0.0,1.2
-4.04,115.91,2024-02-20 21:00,0.0,0.9
-3.93,115.78,2024-02-26 16:00,0.0,1.2
-4.14,115.9,2024-02-19 17:00,0.0,0.6
-3.95,115.83,2024-02-23 03:00,0.0,1.03
-3.87,115.77,2024-02-27 14:00,0.0,0.9
-4.2,115.91,2024-02-18 16:00,0.0,0.55
-3.87,115.77,2024-02-27 15:00,0.0,1.25
-4.22,116.15,2024-02-16 22:00,0.0,0.54
-3.94,115.89,2024-02-25 12:00,0.0,0.9
-4.14,115.9,2024-02-19 19:00,0.0,0.9
-4.04,115.91,2024-02-21 18:00,0.0,0.3
-3.93,115.78,2024-02-26 15:00,0.0,0.9
-3.94,115.89,2024-02-24 21:00,0.0,0.9
-3.94,115.89,2024-02-25 18:00,0.0,1.0
-4.13,115.9,2024-02-19 11:00,0.0,0.7
-4.04,115.91,2024-02-20 13:00,0.0,1.1
-3.84,115.78,2024-02-27 01:00,0.0,0.88
